player_id,registration_date,days_since_registration,segment,total_playtime_hours,session_frequency_per_week,avg_session_duration_min,total_spending_usd,days_since_last_login,achievement_count,friend_count,chat_messages_sent,in_game_purchases_count,level_reached,churn_probability,churned_7day,churned_30day
P8551,2025-12-19,10,Regular,37.4,4.3,73.7,23.13,2,75,6,70,1,18,0.3353,0,0
P8622,2025-04-05,268,Casual,8.0,0.5,7.7,0.0,1,45,4,17,0,4,0.3819,0,0
P7201,2025-08-19,132,Regular,45.4,8.7,35.1,20.05,4,75,23,25,1,22,0.1355,0,0
P9607,2025-12-13,16,Casual,12.5,2.5,30.9,0.0,1,45,5,17,0,6,0.551,0,0
P10189,2025-09-19,101,Hardcore,114.0,12.8,141.4,76.23,4,112,28,171,5,57,0.0,0,0
P7830,2025-10-10,80,Hardcore,150.2,16.0,82.6,66.0,1,112,43,216,4,75,0.0,0,0
P1165,2025-12-17,12,Hardcore,238.1,18.7,100.9,121.12,0,112,39,191,8,100,0.0,0,0
P5365,2025-11-04,55,Regular,44.0,3.0,86.6,24.66,3,75,7,27,1,22,0.1436,0,0
P2097,2025-07-25,157,Casual,1.0,2.7,13.5,0.0,5,45,0,5,0,0,0.4654,0,0
P3766,2025-10-02,88,Regular,28.5,8.1,22.9,51.91,1,75,9,44,3,14,0.0559,0,0
P7167,2024-12-29,365,Whale,215.3,12.7,82.1,891.18,2,97,55,310,59,100,0.0,0,0
P8234,2025-08-19,132,Casual,13.8,1.6,10.4,0.0,0,45,3,14,0,6,0.1977,0,0
P5681,2025-12-27,2,Casual,6.0,1.6,16.7,0.0,2,45,4,19,0,3,0.4945,0,0
P1851,2025-11-17,42,Regular,29.5,2.2,34.2,24.38,9,75,20,79,1,14,0.4287,1,0
P3387,2025-11-05,54,Regular,36.7,3.5,40.8,24.47,0,75,11,33,1,18,0.0,0,0
P9352,2025-08-18,133,Hardcore,133.1,9.5,66.6,192.09,8,112,23,236,12,66,0.0486,1,0
P9103,2025-12-26,3,Casual,3.3,0.5,15.0,0.0,2,45,3,8,0,1,0.5439,0,0
P3524,2025-12-28,1,Hardcore,200.1,12.1,95.9,80.15,0,112,61,105,5,100,0.0,0,0
P3309,2025-09-06,114,Casual,50.1,1.7,15.8,0.0,2,45,2,12,0,25,0.3284,0,0
P3157,2025-12-22,7,Casual,9.2,0.5,14.5,0.0,13,45,0,1,0,4,0.9471,1,0
P5100,2025-09-12,108,Regular,35.5,4.9,42.1,56.38,0,75,26,69,3,17,0.082,0,0
P9715,2025-09-08,112,Hardcore,103.1,10.7,140.5,31.08,0,112,23,56,2,51,0.0,0,0
P1066,2025-09-18,102,Casual,16.4,2.5,9.4,5.0,5,45,2,15,1,8,0.5073,0,0
P8815,2025-12-18,11,Regular,60.7,5.5,22.8,38.69,21,75,7,38,2,30,0.7695,1,0
P7253,2025-12-05,24,Casual,25.9,0.8,16.7,0.0,7,45,4,35,0,12,0.7692,1,0
P1031,2024-12-29,365,Casual,1.0,1.0,7.7,0.0,15,45,1,7,0,0,0.8372,1,0
P3383,2025-10-30,60,Regular,34.2,6.0,19.2,89.86,2,75,8,35,5,17,0.1693,0,0
P3227,2025-12-22,7,Regular,80.4,1.9,25.1,19.81,0,75,14,77,1,40,0.2404,0,0
P5069,2025-12-08,21,Hardcore,160.0,12.1,104.0,51.38,2,112,11,170,3,80,0.1278,0,0
P4474,2025-11-02,57,Hardcore,103.3,15.6,108.2,110.78,5,112,52,165,7,51,0.0,0,0
P3905,2025-10-09,81,Casual,1.0,2.0,34.4,0.0,14,45,2,5,0,0,0.7657,1,0
P10969,2025-09-13,107,Casual,10.5,0.6,18.4,0.0,2,45,4,2,0,5,0.3507,0,0
P1562,2025-12-21,8,Casual,1.0,1.4,15.1,0.0,5,45,3,2,0,0,0.6412,0,0
P8299,2025-08-26,125,Regular,27.5,3.1,37.8,28.56,5,75,12,63,1,13,0.2705,0,0
P1152,2025-11-30,29,Casual,20.3,1.2,21.9,0.0,5,45,6,0,0,10,0.6878,0,0
P3073,2025-03-20,284,Hardcore,216.2,19.9,131.2,144.38,4,112,42,103,9,100,0.0091,0,0
P1118,2025-12-21,8,Hardcore,166.4,11.4,139.0,48.1,0,112,55,122,3,83,0.0,0,0
P6561,2025-12-07,22,Whale,160.9,13.3,93.9,667.65,4,97,41,206,44,80,0.0,0,0
P3417,2025-10-14,76,Casual,14.2,1.6,16.2,0.0,0,45,0,15,0,7,0.3423,0,0
P10610,2025-12-25,4,Regular,42.0,2.9,56.1,30.27,0,75,18,33,2,21,0.2083,0,0
P9068,2025-09-26,94,Regular,28.1,1.4,40.0,17.64,2,75,6,54,1,14,0.1576,0,0
P4375,2025-10-15,75,Hardcore,144.0,5.4,144.7,73.08,0,112,60,178,4,72,0.0,0,0
P7094,2025-06-22,190,Casual,18.8,2.2,20.4,0.0,0,45,4,2,0,9,0.3018,0,0
P5391,2025-07-21,161,Regular,26.0,2.3,30.2,42.25,1,75,14,28,2,13,0.0475,0,0
P10201,2025-11-23,36,Regular,27.6,6.2,28.7,36.45,3,75,6,91,2,13,0.1018,0,0
P1295,2025-01-19,344,Regular,61.2,7.9,40.0,14.05,2,75,19,51,1,30,0.0919,0,0
P1452,2025-07-20,162,Regular,44.6,3.4,33.1,35.26,7,75,11,48,2,22,0.3132,1,0
P10774,2025-09-09,111,Hardcore,111.6,15.6,66.6,68.1,2,112,33,229,4,55,0.0,0,0
P8087,2025-12-03,26,Regular,31.5,2.8,10.0,20.47,6,75,11,51,1,15,0.4817,0,0
P8133,2025-12-04,25,Casual,6.0,1.1,11.6,0.0,0,45,1,29,0,3,0.4941,0,0
P8552,2025-11-15,44,Regular,37.1,3.3,39.6,24.31,18,75,27,16,1,18,0.528,1,0
P10544,2024-12-29,365,Casual,44.9,0.7,11.9,0.0,1,45,3,8,0,22,0.3878,0,0
P6710,2025-12-22,7,Casual,29.7,0.9,15.4,0.0,4,45,7,0,0,14,0.7012,0,0
P10749,2025-09-30,90,Hardcore,154.2,19.7,82.8,73.36,1,112,34,119,4,77,0.0,0,0
P10587,2025-06-02,210,Regular,43.1,4.0,33.8,24.22,2,75,2,59,1,21,0.1293,0,0
P6669,2025-12-24,5,Regular,38.5,6.9,10.0,35.1,1,75,4,38,2,19,0.297,0,0
P9534,2025-09-08,112,Regular,58.3,2.4,34.3,34.78,12,75,21,47,2,29,0.5063,1,0
P9873,2025-12-21,8,Casual,1.0,2.3,29.0,0.0,6,45,1,6,0,0,0.7228,0,0
P10907,2025-09-10,110,Casual,14.2,1.8,14.7,0.0,5,45,0,16,0,7,0.4413,0,0
P9285,2025-10-18,72,Hardcore,141.4,18.6,94.2,113.13,3,112,50,142,7,70,0.0,0,0
P5977,2025-12-09,20,Casual,5.7,1.3,21.1,0.0,5,45,2,1,0,2,0.7323,0,0
P4555,2025-11-14,45,Regular,28.8,5.5,59.9,74.21,1,75,8,63,4,14,0.0291,0,0
P10921,2025-11-20,39,Hardcore,134.6,7.9,104.7,38.05,0,112,28,155,2,67,0.0,0,0
P2232,2025-12-19,10,Casual,9.6,2.5,7.3,0.0,0,45,4,24,0,4,0.3979,0,0
P10345,2025-09-26,94,Whale,209.4,15.3,95.3,1055.65,9,97,44,196,70,100,0.0,1,0
P10506,2025-08-05,146,Casual,7.8,0.7,13.2,0.0,1,45,6,15,0,3,0.237,0,0
P1723,2025-06-16,196,Regular,24.4,4.2,84.4,39.55,0,75,8,38,2,12,0.0137,0,0
P3113,2025-07-28,154,Hardcore,144.1,14.9,106.6,160.93,0,112,55,158,10,72,0.0,0,0
P9160,2025-09-20,100,Whale,115.7,10.3,105.6,821.66,0,97,72,237,54,57,0.0,0,0
P4182,2025-12-19,10,Casual,38.5,0.8,11.5,0.0,13,45,5,40,0,19,0.9438,1,0
P10062,2025-06-07,205,Hardcore,161.9,18.7,126.8,76.81,0,112,36,164,5,80,0.0,0,0
P7797,2025-12-13,16,Casual,19.7,1.9,23.6,0.0,3,45,6,10,0,9,0.5513,0,0
P7812,2025-05-31,212,Casual,29.7,4.2,5.0,0.0,0,45,3,2,0,14,0.2798,0,0
P6675,2025-08-01,150,Casual,5.6,2.4,16.5,0.0,0,45,5,21,0,2,0.2893,0,0
P8303,2025-12-21,8,Hardcore,168.7,17.6,157.7,76.65,1,112,27,116,5,84,0.0083,0,0
P7454,2025-12-23,6,Hardcore,201.6,12.3,83.5,54.73,3,112,26,247,3,100,0.1621,0,0
P1553,2025-10-12,78,Regular,25.9,8.1,34.9,32.86,1,75,23,73,2,12,0.1594,0,0
P10673,2025-10-09,81,Casual,29.6,4.7,5.0,0.0,0,45,3,0,0,14,0.1946,0,0
P2413,2025-12-20,9,Casual,8.6,0.9,13.7,0.0,8,45,1,54,0,4,0.8057,1,0
P7778,2025-11-11,48,Whale,150.8,13.8,192.7,1022.04,0,97,32,452,68,75,0.0,0,0
P8878,2025-10-30,60,Regular,72.2,6.4,29.7,74.73,0,75,10,54,4,36,0.0451,0,0
P3540,2025-12-22,7,Regular,56.5,3.8,43.9,18.41,2,75,26,55,1,28,0.2187,0,0
P7503,2025-11-09,50,Casual,1.0,1.0,5.7,0.0,4,45,2,4,0,0,0.5992,0,0
P9481,2024-12-29,365,Casual,26.0,1.5,10.5,0.0,2,45,5,1,0,13,0.424,0,0
P10784,2025-10-18,72,Regular,65.5,3.0,32.3,23.4,1,75,21,66,1,32,0.1044,0,0
P9841,2025-03-28,276,Hardcore,131.8,11.1,211.5,52.51,1,112,57,162,3,65,0.0,0,0
P8145,2025-09-21,99,Regular,27.7,5.9,19.5,18.82,1,75,25,31,1,13,0.2461,0,0
P5086,2025-08-28,123,Casual,12.6,5.0,7.9,0.0,4,45,1,19,0,6,0.4918,0,0
P6307,2025-05-03,240,Casual,22.6,2.5,18.2,0.0,1,45,6,17,0,11,0.3693,0,0
P1244,2025-12-02,27,Casual,13.3,0.7,24.9,5.0,0,45,0,24,1,6,0.425,0,0
P10643,2025-10-31,59,Casual,4.4,3.4,6.7,0.0,0,45,2,15,0,2,0.2607,0,0
P9987,2025-12-16,13,Hardcore,97.2,13.0,113.9,87.61,0,112,24,127,5,48,0.0,0,0
P8416,2025-10-22,68,Casual,2.2,1.0,5.0,0.0,0,45,0,3,0,1,0.2587,0,0
P10668,2025-12-13,16,Regular,21.1,4.6,63.0,37.12,1,75,12,46,2,10,0.2423,0,0
P9551,2025-07-11,171,Casual,17.0,5.2,9.1,5.0,12,45,12,6,1,8,0.8011,1,0
P5072,2025-11-21,38,Regular,43.3,4.4,23.6,29.05,2,75,7,55,1,21,0.2228,0,0
P7457,2025-08-25,126,Regular,24.9,5.8,26.0,14.55,11,75,17,66,1,12,0.5224,1,0
P1753,2025-09-26,94,Casual,6.3,1.6,30.4,0.0,1,45,5,54,0,3,0.3821,0,0
P4727,2025-08-03,148,Casual,12.3,2.2,27.2,0.0,0,45,1,17,0,6,0.3472,0,0
P5447,2025-10-29,61,Hardcore,176.7,3.8,83.9,66.53,4,112,33,190,4,88,0.0475,0,0
P2569,2025-08-25,126,Regular,41.8,4.3,46.7,10.81,2,75,7,52,1,20,0.1257,0,0
P3844,2025-11-06,53,Regular,32.5,2.5,48.4,19.26,2,75,15,51,1,16,0.1552,0,0
P9891,2025-11-03,56,Hardcore,142.6,6.3,132.2,151.69,2,112,32,228,10,71,0.0,0,0
P5244,2025-08-24,127,Regular,55.9,4.4,54.4,46.6,0,75,7,48,3,27,0.1034,0,0
P8239,2025-03-28,276,Regular,36.3,7.2,28.8,22.66,9,75,14,30,1,18,0.3673,1,0
P9679,2025-08-08,143,Casual,1.2,3.0,9.5,0.0,10,45,4,10,0,0,0.6878,1,0
P4853,2025-12-20,9,Hardcore,175.2,15.7,90.5,124.39,3,112,56,137,8,87,0.0191,0,0
P8429,2025-11-30,29,Regular,56.0,5.7,19.2,18.29,4,75,16,38,1,28,0.4477,0,0
P8335,2024-12-29,365,Casual,17.7,1.4,9.7,0.0,2,45,13,26,0,8,0.3578,0,0
P1726,2025-11-18,41,Casual,38.2,1.9,18.2,0.0,1,45,4,3,0,19,0.2607,0,0
P2058,2025-12-13,16,Regular,27.8,3.3,44.1,12.66,2,75,22,58,1,13,0.2879,0,0
P6168,2025-10-12,78,Casual,22.4,1.3,15.3,0.0,3,45,4,9,0,11,0.4934,0,0
P1310,2025-01-26,337,Regular,32.5,4.9,25.8,10.36,2,75,17,39,1,16,0.1362,0,0
P1405,2025-12-15,14,Hardcore,106.5,4.9,78.7,75.03,11,112,46,149,5,53,0.4586,1,0
P7596,2025-12-12,17,Casual,6.9,3.1,5.8,0.0,0,45,6,9,0,3,0.385,0,0
P7203,2025-01-30,333,Regular,46.2,7.7,29.9,12.95,4,75,23,45,1,23,0.0809,0,0
P3727,2025-07-24,158,Casual,2.1,4.0,6.9,0.0,1,45,7,36,0,1,0.2649,0,0
P4745,2025-11-25,34,Casual,5.8,1.2,34.5,0.0,4,45,3,7,0,2,0.4443,0,0
P9555,2024-12-29,365,Regular,25.0,3.4,47.6,30.36,4,75,17,67,2,12,0.2548,0,0
P10437,2025-12-27,2,Casual,31.5,1.6,5.0,0.0,0,45,2,2,0,15,0.4767,0,0
P2860,2025-05-26,217,Hardcore,125.1,12.4,120.5,81.58,0,112,44,204,5,62,0.0,0,0
P2345,2025-04-01,272,Regular,23.7,2.5,25.0,28.84,6,75,14,13,1,11,0.2726,0,0
P2307,2025-12-16,13,Hardcore,145.8,15.1,76.6,133.89,1,112,41,187,8,72,0.0,0,0
P10650,2025-11-28,31,Casual,1.0,1.5,12.9,0.0,5,45,2,7,0,0,0.4787,0,0
P10965,2025-12-21,8,Regular,29.3,2.3,14.5,34.49,0,75,5,46,2,14,0.2229,0,0
P8209,2025-07-22,160,Hardcore,120.9,8.5,96.2,75.49,4,112,43,92,5,60,0.0976,0,0
P9201,2025-10-03,87,Regular,34.2,5.2,54.4,16.46,1,75,20,66,1,17,0.0554,0,0
P8713,2025-10-21,69,Regular,24.1,6.1,34.7,20.2,3,75,18,128,1,12,0.1189,0,0
P6448,2025-11-08,51,Regular,72.0,5.2,16.5,12.92,0,75,12,22,1,36,0.0825,0,0
P8480,2025-10-10,80,Casual,3.9,0.9,13.1,0.0,0,45,1,4,0,1,0.3411,0,0
P8536,2025-12-16,13,Hardcore,129.8,8.4,53.7,77.18,2,112,26,87,5,64,0.0825,0,0
P9557,2025-10-10,80,Regular,56.2,3.0,54.8,26.74,2,75,16,37,1,28,0.1804,0,0
P5794,2025-12-08,21,Casual,12.4,3.7,14.2,0.0,7,45,1,8,0,6,0.768,1,0
P1367,2025-11-18,41,Hardcore,223.9,10.2,111.9,103.53,0,112,33,119,6,100,0.0,0,0
P2446,2025-06-09,203,Regular,36.6,7.2,20.8,15.35,0,75,14,43,1,18,0.0707,0,0
P7189,2025-09-27,93,Casual,8.3,1.0,13.0,0.0,4,45,5,11,0,4,0.4957,0,0
P6910,2025-04-30,243,Regular,47.0,9.5,15.3,42.44,5,75,15,24,2,23,0.2042,0,0
P1134,2025-12-26,3,Hardcore,144.8,13.7,66.3,131.6,0,112,35,156,8,72,0.0,0,0
P3956,2025-02-07,325,Regular,42.7,5.0,28.5,38.37,0,75,17,40,2,21,0.2004,0,0
P9921,2025-12-23,6,Casual,6.9,0.9,9.3,0.0,5,45,4,7,0,3,0.6481,0,0
P7609,2025-10-24,66,Casual,7.8,1.8,16.0,0.0,9,45,1,0,0,3,0.7744,1,0
P10864,2025-08-18,133,Regular,35.8,7.6,23.1,29.87,6,75,3,53,1,17,0.3036,0,0
P5203,2025-08-01,150,Whale,141.9,10.0,92.7,1240.99,2,97,64,324,82,70,0.0,0,0
P8941,2025-11-18,41,Regular,26.0,3.6,57.4,15.22,0,75,12,39,1,13,0.1639,0,0
P5802,2025-04-20,253,Hardcore,170.4,12.9,48.9,86.11,0,112,17,224,5,85,0.0,0,0
P3322,2025-12-16,13,Regular,33.4,2.3,75.1,28.41,4,75,32,78,1,16,0.3106,0,0
P6749,2025-12-26,3,Regular,42.6,7.4,66.6,20.19,3,75,18,44,1,21,0.2465,0,0
P8930,2025-08-25,126,Hardcore,151.0,9.4,203.6,146.9,0,112,32,102,9,75,0.0,0,0
P5819,2025-10-24,66,Casual,33.1,1.0,5.0,0.0,1,45,3,24,0,16,0.2957,0,0
P10176,2025-10-24,66,Casual,1.2,3.4,11.8,0.0,5,45,1,19,0,0,0.4353,0,0
P3175,2025-09-18,102,Hardcore,159.0,18.8,88.6,41.96,3,112,42,222,2,79,0.0,0,0
P3502,2025-12-11,18,Regular,39.4,4.5,18.2,66.58,8,75,15,23,4,19,0.4639,1,0
P10485,2025-11-30,29,Regular,65.9,5.4,20.5,42.33,0,75,9,61,2,32,0.1467,0,0
P4234,2025-09-19,101,Casual,11.3,1.2,13.8,0.0,4,45,3,1,0,5,0.4307,0,0
P9648,2025-12-16,13,Regular,25.1,8.0,21.6,66.58,3,75,15,23,4,12,0.3496,0,0
P6265,2025-11-28,31,Regular,28.7,5.5,59.2,26.05,0,75,8,53,1,14,0.2093,0,0
P10613,2025-11-18,41,Casual,5.0,1.9,8.9,0.0,0,45,1,4,0,2,0.2867,0,0
P4032,2025-11-10,49,Hardcore,117.4,6.8,74.7,125.67,3,112,23,242,8,58,0.0,0,0
P10097,2025-10-06,84,Casual,27.9,2.1,8.3,0.0,1,45,1,7,0,13,0.3717,0,0
P2893,2025-10-28,62,Casual,3.8,0.6,16.8,0.0,0,45,4,16,0,1,0.3312,0,0
P10881,2025-08-21,130,Regular,42.7,5.9,16.3,25.72,2,75,19,44,1,21,0.2307,0,0
P9451,2025-10-17,73,Casual,4.7,0.5,12.4,5.0,0,45,6,3,1,2,0.2759,0,0
P8774,2025-02-11,321,Casual,8.2,1.1,24.9,0.0,0,45,5,11,0,4,0.2931,0,0
P4196,2024-12-29,365,Hardcore,167.5,12.7,62.4,104.36,0,112,45,170,6,83,0.0,0,0
P8506,2025-10-27,63,Regular,61.2,1.0,38.7,22.65,0,75,11,34,1,30,0.0256,0,0
P1246,2025-12-14,15,Regular,25.3,3.8,16.2,27.71,10,75,19,42,1,12,0.6701,1,0
P5957,2025-07-20,162,Regular,25.6,4.8,33.6,15.87,1,75,16,21,1,12,0.1771,0,0
P2907,2025-11-01,58,Casual,6.5,2.4,15.3,0.0,5,45,4,3,0,3,0.5473,0,0
P2005,2025-04-06,267,Regular,76.1,4.8,30.7,41.12,0,75,16,54,2,38,0.008,0,0
P3339,2025-12-15,14,Regular,39.1,3.8,68.2,12.35,1,75,9,32,1,19,0.2412,0,0
P3873,2025-12-22,7,Regular,66.6,5.6,56.6,44.16,10,75,16,60,2,33,0.6365,1,0
P3556,2025-09-17,103,Regular,38.3,4.2,15.7,17.09,2,75,16,96,1,19,0.1458,0,0
P10707,2025-11-03,56,Regular,29.0,4.9,36.8,12.43,0,75,10,33,1,14,0.0611,0,0
P9815,2025-12-21,8,Regular,56.3,3.1,63.4,24.92,12,75,7,63,1,28,0.608,1,0
P6286,2025-09-13,107,Whale,167.0,4.7,102.8,1571.84,0,97,57,330,104,83,0.0,0,0
P5232,2025-12-09,20,Casual,53.6,1.4,7.7,0.0,17,45,0,15,0,26,0.8624,1,0
P6517,2025-11-17,42,Hardcore,125.2,10.5,51.3,210.78,1,112,40,76,14,62,0.0,0,0
P10208,2025-11-10,49,Hardcore,56.0,17.3,90.0,83.03,0,112,34,226,5,28,0.0,0,0
P6699,2025-10-29,61,Casual,23.0,1.0,5.0,0.0,5,45,10,26,0,11,0.4751,0,0
P9323,2025-12-05,24,Regular,42.8,2.9,39.2,27.31,0,75,18,25,1,21,0.1928,0,0
P5115,2025-11-24,35,Casual,10.3,2.2,20.1,10.0,5,45,2,0,1,5,0.4592,0,0
P3764,2025-08-22,129,Casual,5.6,0.5,13.4,0.0,1,45,7,10,0,2,0.3419,0,0
P2877,2025-11-09,50,Regular,25.2,8.9,20.3,35.93,9,75,26,33,2,12,0.3469,1,0
P4368,2025-08-01,150,Casual,17.0,2.2,6.6,0.0,5,45,4,3,0,8,0.5556,0,0
P8394,2025-11-12,47,Casual,6.5,1.9,13.0,0.0,2,45,5,1,0,3,0.3954,0,0
P10538,2025-11-30,29,Casual,4.4,3.2,5.0,0.0,6,45,2,10,0,2,0.7227,0,0
P5078,2025-11-24,35,Hardcore,165.5,13.4,89.7,70.74,1,112,31,170,4,82,0.0,0,0
P2522,2025-12-08,21,Casual,13.2,3.8,23.6,0.0,3,45,3,1,0,6,0.5958,0,0
P2044,2025-11-18,41,Hardcore,104.4,8.5,113.4,94.74,1,112,39,125,6,52,0.0,0,0
P8061,2025-09-20,100,Regular,75.6,6.4,55.4,28.57,2,75,12,49,1,37,0.1394,0,0
P1414,2025-04-23,250,Regular,54.4,3.8,57.4,22.77,0,75,9,66,1,27,0.1186,0,0
P5001,2025-12-21,8,Hardcore,134.1,4.8,96.1,144.16,2,112,48,103,9,67,0.126,0,0
P3569,2025-12-17,12,Hardcore,157.1,21.1,108.9,142.12,0,112,32,128,9,78,0.0,0,0
P9193,2025-12-05,24,Casual,47.6,0.5,16.0,0.0,5,45,1,2,0,23,0.6577,0,0
P10126,2025-05-05,238,Regular,51.0,5.0,46.1,22.01,1,75,10,40,1,25,0.1061,0,0
P7867,2025-11-28,31,Casual,7.1,0.5,10.9,0.0,5,45,2,14,0,3,0.4389,0,0
P6844,2025-12-25,4,Hardcore,141.1,18.5,85.0,120.24,3,112,36,119,8,70,0.0,0,0
P5814,2025-10-10,80,Hardcore,134.7,17.1,101.6,101.66,1,112,48,107,6,67,0.0,0,0
P10149,2025-05-13,230,Regular,47.0,4.0,11.7,80.33,7,75,6,71,5,23,0.3608,1,0
P1093,2025-07-14,168,Regular,49.4,5.1,62.4,17.4,1,75,11,16,1,24,0.1355,0,0
P10701,2025-11-03,56,Casual,11.1,0.7,10.6,0.0,4,45,6,4,0,5,0.5591,0,0
P3565,2025-08-16,135,Casual,21.2,0.5,11.0,0.0,4,45,1,4,0,10,0.4073,0,0
P8564,2025-09-03,117,Regular,56.8,6.3,19.0,31.34,0,75,17,30,2,28,0.0267,0,0
P7615,2025-11-23,36,Regular,44.2,5.9,17.2,20.53,2,75,13,32,1,22,0.1512,0,0
P8749,2025-11-18,41,Regular,36.4,9.7,50.8,5.56,2,75,21,27,1,18,0.1518,0,0
P7310,2025-10-01,89,Casual,5.7,1.8,22.6,0.0,6,45,2,1,0,2,0.4627,0,0
P7089,2025-04-11,262,Casual,11.9,5.8,9.4,5.0,2,45,7,22,1,5,0.3884,0,0
P8499,2025-04-28,245,Regular,29.5,2.3,10.0,15.52,11,75,8,125,1,14,0.4781,1,0
P10473,2025-11-22,37,Casual,8.8,2.3,15.5,0.0,10,45,1,5,0,4,0.6565,1,0
P9524,2025-11-26,33,Regular,53.6,4.1,28.9,42.59,2,75,12,43,2,26,0.2165,0,0
P10041,2025-11-23,36,Casual,11.4,0.5,16.7,0.0,1,45,1,28,0,5,0.3319,0,0
P6493,2025-11-12,47,Casual,18.6,3.8,14.1,0.0,6,45,7,15,0,9,0.5278,0,0
P10785,2025-10-13,77,Hardcore,159.7,16.3,50.6,163.22,1,112,29,238,10,79,0.0,0,0
P2065,2025-12-21,8,Regular,25.9,3.6,40.9,25.93,0,75,13,83,1,12,0.1985,0,0
P6663,2025-11-17,42,Regular,33.1,4.8,77.7,40.56,5,75,10,54,2,16,0.2184,0,0
P1580,2025-11-12,47,Regular,49.0,6.0,36.2,13.39,0,75,18,39,1,24,0.094,0,0
P9545,2025-09-18,102,Regular,25.4,4.5,17.4,35.69,3,75,7,51,2,12,0.2119,0,0
P3213,2024-12-29,365,Whale,210.4,9.5,68.5,1336.06,1,97,60,417,89,100,0.0,0,0
P8224,2025-02-12,320,Hardcore,132.1,10.3,102.2,36.53,1,112,37,166,2,66,0.0,0,0
P10350,2025-12-27,2,Casual,1.0,1.7,11.9,0.0,1,45,0,4,0,0,0.5098,0,0
P3800,2025-10-17,73,Hardcore,136.4,10.3,91.5,169.02,3,112,23,130,11,68,0.0,0,0
P2194,2025-12-17,12,Casual,5.7,0.9,24.7,0.0,0,45,2,4,0,2,0.4028,0,0
P2572,2025-12-21,8,Regular,30.6,7.3,15.5,2.72,0,75,16,36,1,15,0.2486,0,0
P3296,2025-10-30,60,Casual,1.2,0.5,5.0,0.0,0,45,2,28,0,0,0.3715,0,0
P4984,2025-03-15,289,Hardcore,171.8,7.7,94.6,150.12,3,112,27,141,10,85,0.0112,0,0
